ticker,dollar_adv_hist,price_warmup_med,volume_warmup_avg,adv_window,adv_asof
ASTE,5814009.85660553,33.68000030517578,179583.33333333334,30.0,2020-04-13
ATEN,2570184.100651741,5.575000047683716,548643.3333333334,30.0,2020-04-13
ATEX,5484647.104644775,42.900001525878906,138820.0,30.0,2020-04-13
ATI,30698112.157344814,8.809999942779541,3360150.0,30.0,2020-04-13
ATKR,14105016.670131683,22.38499927520752,611333.3333333334,30.0,2020-04-13
ATNI,3227123.991966248,55.43000030517578,63666.66666666666,30.0,2020-04-13
ATO,123535345.36895752,101.65999984741212,1239850.0,30.0,2020-04-13
ATR,46236467.346191406,98.97999954223631,497343.3333333333,30.0,2020-04-13
ATRA,6964276.0,210.75,32166.666666666668,30.0,2020-04-13
ATRC,14122632.35874176,32.85500144958496,431736.6666666667,30.0,2020-04-13
ATRO,4661658.845233917,9.464999675750732,463770.0,30.0,2020-04-13
AU,89046117.35229492,18.550000190734863,5140553.333333333,30.0,2020-04-13
AUB,12440252.942848206,22.045000076293945,534840.0,30.0,2020-04-13
AUDC,9457506.1170578,21.98500061035156,491523.3333333333,30.0,2020-04-13
AUPH,21421544.77834701,14.40500020980835,1731973.3333333333,30.0,2020-04-13
AVA,30462374.49169159,43.26000022888184,767386.6666666666,30.0,2020-04-13
AVAV,18276291.09020233,54.7549991607666,328780.0,30.0,2020-04-13
AVB,239827835.70861816,160.5,1477140.0,30.0,2020-04-13
AVD,2004343.036222458,13.81500005722046,146010.0,30.0,2020-04-13
AVGO,1078132292.8304672,23.860499382019043,49476833.333333336,30.0,2020-04-13
AVNS,12217662.084388733,26.38500022888184,482673.3333333333,30.0,2020-04-13
AVNT,22860699.75171089,18.894999504089355,1418306.6666666667,30.0,2020-04-13
AVT,27052579.484462734,26.09500026702881,1195410.0,30.0,2020-04-13
AVTR,39466587.34407425,12.269999980926514,3413553.333333333,30.0,2020-04-13
AVY,80341130.4763794,104.49499893188477,832836.6666666666,30.0,2020-04-13
AWI,39428007.44590759,78.99499893188477,503703.3333333333,30.0,2020-04-13
AWK,214175656.03790283,123.43499755859376,1819553.3333333333,30.0,2020-04-13
AWR,29928762.991333008,81.07500076293945,419846.6666666667,30.0,2020-04-13
AX,10857423.387050629,18.09999942779541,663583.3333333334,30.0,2020-04-13
AXGN,4646689.471673965,9.704999923706056,523086.6666666667,30.0,2020-04-13
AXON,57368439.86778259,68.47999954223633,880760.0,30.0,2020-04-13
AXP,897659396.4309692,89.45000076293945,9738333.333333334,30.0,2020-04-13
AXS,41876315.76633453,38.920000076293945,972110.0,30.0,2020-04-13
AXSM,64007051.19800568,60.64000129699707,1113536.6666666667,30.0,2020-04-13
AXTA,87791535.79568863,17.579999923706055,4554420.0,30.0,2020-04-13
AYI,45177353.62968445,86.16500091552734,508546.6666666667,30.0,2020-04-13
AYTU,27655260.0,305.0,181385.16666666663,30.0,2020-04-13
AZN,259440670.3697205,87.62999725341797,3120925.0,30.0,2020-04-13
AZO,364352730.8685303,892.3150024414062,429643.3333333333,30.0,2020-04-13
AZTA,18453905.528068542,30.5,756090.0,30.0,2020-04-13
AZZ,4534246.609687805,27.57000064849853,185006.66666666663,30.0,2020-04-13
B,480556476.3094902,19.539999961853027,25600936.666666668,30.0,2020-04-13
BA,4893535934.256363,150.48999786376953,35946926.666666664,30.0,2020-04-13
BAC,2874590178.82843,21.95499992370605,117691346.66666669,30.0,2020-04-13
BAH,121607840.7409668,70.27000045776367,1884316.6666666667,30.0,2020-04-13
BAK,1350686.5294456482,6.734999895095825,227096.66666666663,30.0,2020-04-13
BALL,207583933.64334103,64.64500045776367,3292903.333333333,30.0,2020-04-13
BANC,5370005.885696411,9.079999923706056,547976.6666666666,30.0,2020-04-13
BAND,26955184.79537964,64.07999801635742,428816.6666666667,30.0,2020-04-13
BANF,5723374.754905701,34.26499938964844,154833.33333333334,30.0,2020-04-13
BANR,10834456.01196289,33.71000099182129,319493.3333333333,30.0,2020-04-13
BAP,66926331.201934814,135.98999786376953,525796.6666666666,30.0,2020-04-13
BATRA,3007111.545562744,18.420000076293945,168530.0,30.0,2020-04-13
BATRK,4639306.832408905,18.074999809265137,292753.3333333333,30.0,2020-04-13
BAX,316809463.97094727,81.30500030517578,4215530.0,30.0,2020-04-13
BBDC,2564932.452225685,7.329999923706055,401763.3333333333,30.0,2020-04-13
BBIO,25758764.003753666,26.050000190734863,1561163.3333333333,30.0,2020-04-13
BBSI,3166420.943450928,9.618750095367432,306026.6666666667,30.0,2020-04-13
BBT,6606760.459566116,15.210000038146973,443183.3333333333,30.0,2020-04-13
BBWI,155914740.1348791,10.662893772125244,13805200.466666669,30.0,2020-04-13
BBY,221597449.5573044,60.810001373291016,3679850.0,30.0,2020-04-13
BC,44349937.937927246,35.35999870300293,1244340.0,30.0,2020-04-13
BCC,11245124.629974363,24.269999504089355,458383.3333333333,30.0,2020-04-13
BCE,83110908.5237503,40.545000076293945,2012853.3333333333,30.0,2020-04-13
BCH,3311148.5122680664,17.175000190734863,207043.3333333333,30.0,2020-04-13
BCO,31156700.11768341,52.22500038146973,575353.3333333334,30.0,2020-04-13
BCPC,13913816.249084473,95.7349967956543,171376.66666666666,30.0,2020-04-13
BCSF,6190822.829776764,10.173048973083496,535672.8333333334,30.0,2020-04-13
BDC,17757947.61428833,35.80999946594238,493853.3333333333,30.0,2020-04-13
BDN,23574720.066452023,10.364999771118164,2352986.6666666665,30.0,2020-04-13
BDTX,5001322.553539276,24.405000686645508,264453.3333333333,30.0,2020-04-13
BDX,587742486.0873184,178.39775848388672,3496491.6666666665,30.0,2020-04-13
BE,20297455.970859528,5.454999923706055,3502750.0,30.0,2020-04-13
BEAM,4204688.4159088135,18.005000114440918,294166.6666666667,30.0,2020-04-13
BEN,108664625.41809082,17.55500030517578,6602543.333333333,30.0,2020-04-13
BF-A,2951743.952560425,52.415000915527344,62310.0,30.0,2020-04-13
BF-B,86775579.61082458,56.119998931884766,1626073.3333333333,30.0,2020-04-13
BFAM,91407665.97747804,102.43500137329102,933006.6666666666,30.0,2020-04-13
BFH,83873637.2837143,29.537111282348636,2614823.1333333333,30.0,2020-04-13
BFS,2664975.027275085,32.90500068664551,85100.0,30.0,2020-04-13
BG,67607136.94458008,38.46500015258789,1781873.3333333333,30.0,2020-04-13
BGS,25892299.988746643,16.72499942779541,2057760.0,30.0,2020-04-13
BH,1433611.5104675293,55.15999984741211,22766.666666666668,30.0,2020-04-13
BHC,103529540.4086113,15.46999979019165,6830566.666666667,30.0,2020-04-13
BHE,7171654.850959778,20.8100004196167,335143.3333333333,30.0,2020-04-13
BHF,46312859.83905792,23.850000381469727,2013683.3333333333,30.0,2020-04-13
BHFAL,1081415.0339126587,24.085000038146973,50383.333333333336,30.0,2020-04-13
BIDU,540341272.360611,99.0,5404816.666666667,30.0,2020-04-13
BIIB,718492052.722168,304.7050018310547,2398020.0,30.0,2020-04-13
BILL,41391764.865493774,40.03499984741211,1085220.0,30.0,2020-04-13
BIO,91890158.86383057,355.0599975585937,276940.0,30.0,2020-04-13
BJ,79136158.32614899,24.644999504089355,3359986.6666666665,30.0,2020-04-13
BJRI,16336750.742721558,14.505000114440918,1219626.6666666667,30.0,2020-04-13
BK,286092023.1014252,33.875,8746090.0,30.0,2020-04-13
BKE,12360684.267377852,15.44000005722046,807130.0,30.0,2020-04-13
BKH,37249595.55892944,63.7549991607666,568763.3333333334,30.0,2020-04-13
BKNG,1154180125.0,1367.0549926757812,822390.0,30.0,2020-04-13
BKR,115997213.93752098,11.81500005722046,9944106.666666666,30.0,2020-04-13
BKU,24341920.709896088,19.45499992370605,1195130.0,30.0,2020-04-13
BL,33520369.37675476,52.96500015258789,746013.3333333334,30.0,2020-04-13
BLBD,2107779.957485199,11.585000038146973,169850.0,30.0,2020-04-13
BLD,38775544.292640686,75.78999710083008,509090.0,30.0,2020-04-13
BLDP,30241231.25562668,8.275000095367432,3634836.6666666665,30.0,2020-04-13
BLDR,29185985.791015625,13.65500020980835,2058520.0,30.0,2020-04-13
BLFS,2104375.5499362946,9.84000015258789,262036.66666666663,30.0,2020-04-13
BLK,552583500.8132935,432.6549987792969,1298753.3333333333,30.0,2020-04-13
BLKB,31348510.769462585,53.13500022888184,650683.3333333334,30.0,2020-04-13
